Simulation Run Number	T-R Separation Distance (m)	Time Delay (ns)	Received Power (dBm)	 Phase (rad)	Azimuth AoD (degree)	Elevation AoD (degree)	Azimuth AoA (degree)	Elevation AoA (degree)	Path Loss (dB)	RMS Delay Spread (ns)	
            1.0	          176.3	                 588	           -163.0	          5.9	             42	             -3.1	            156.1	                4	            169.7	             39.1
            1.0	          176.3	                 590	           -153.3	          2.5	             34	             -8.9	            205.3	               -3	            163.2	             26.4
            1.0	          176.3	                 593	           -154.9	          1.5	             68	              1.6	            175.8	               11	            164.9	              2.8
            1.0	          176.3	                 596	           -145.4	          1.2	            225	             -5.0	            161.8	                6	            155.4	              7.5
            1.0	          176.3	                 599	           -160.7	          0.1	            210	             -7.6	            212.5	                3	            168.8	             60.7
            1.0	          176.3	                 601	           -161.7	          0.3	             41	             -5.7	            154.6	                3	            169.7	             25.1
            1.0	          176.3	                 604	           -161.3	          4.3	            238	             -5.6	            211.1	               -4	            171.2	             53.4
            1.0	          176.3	                 607	           -169.3	          1.3	             47	             -2.0	            206.0	                1	            169.5	             77.0
            1.0	          176.3	                 610	           -164.0	          0.3	             39	             -7.0	            196.5	                1	            172.5	             30.2
            1.0	          176.3	                 613	           -175.1	          4.2	            202	             -3.5	            177.6	               10	            177.0	             55.2
            1.0	          176.3	                 616	           -163.5	          2.7	             80	             -2.5	            210.9	               -4	            173.4	             16.8
            1.0	          176.3	                 619	           -158.3	          1.1	            214	             -6.0	            158.6	                2	            166.4	             37.9
            1.0	          176.3	                 622	           -161.9	          1.3	             43	             -5.4	            206.0	               -5	            169.1	             63.8
            1.0	          176.3	                 625	           -170.7	          1.6	             34	             -5.1	            206.4	               -4	            164.9	             46.5
            1.0	          176.3	                 628	           -161.1	          4.1	             48	             -0.2	            202.4	               -5	            169.3	             70.5
            1.0	          176.3	                 631	           -165.8	          2.7	            196	             -4.3	            201.3	               -7	            174.9	             68.7
            1.0	          176.3	                 634	           -172.6	          1.9	             37	              0.5	            208.3	                2	            175.4	            110.4
            1.0	          176.3	                 638	           -179.2	          3.2	            221	             -4.8	            198.9	               -4	            180.0	            151.6
            1.0	          176.3	                 641	           -172.0	          5.5	             54	             -0.4	            161.3	                4	            171.8	             46.3
            1.0	          176.3	                 644	           -172.1	          4.4	             41	              1.5	            168.8	                6	            177.7	            145.8
            1.0	          176.3	                 647	           -170.5	          1.2	             30	              3.0	            163.3	                1	            174.3	             47.9
            1.0	          176.3	                 650	           -167.0	          3.5	             44	              0.6	            153.1	               13	            175.9	             31.6
            1.0	          176.3	                 653	           -165.5	          0.4	             36	              2.2	            162.8	                9	            174.6	             47.3
            1.0	          176.3	                 656	           -180.0	          3.6	             54	             -8.3	            176.1	                5	            188.5	             84.4
            1.0	          176.3	                 659	           -172.8	          5.9	            215	             -5.3	            162.6	               14	            171.0	             80.8
            1.0	          176.3	                 662	           -169.8	          6.2	            227	             -7.8	            182.2	                7	            178.9	            138.8
            1.0	          176.3	                 665	           -169.6	          3.9	             45	             -4.8	            213.5	               -2	            173.1	             56.1
            1.0	          176.3	                 669	           -178.3	          5.6	             38	              0.1	            159.1	                1	            175.4	             87.6
            1.0	          176.3	                 672	           -180.0	          3.6	             53	             -2.3	            169.2	                8	            177.5	            103.8
            1.0	          176.3	                 702	           -154.8	          2.4	            214	             -0.8	            208.7	                1	            164.4	             35.5
            1.0	          176.3	                 706	           -160.8	          3.3	             54	             -2.6	            204.2	               -2	            169.2	             60.8
            1.0	          176.3	                 710	           -158.6	          2.5	             60	              0.6	            211.0	                0	            168.4	             10.2
            1.0	          176.3	                 714	           -155.1	          2.0	            215	             -8.9	            155.1	               11	            164.6	             38.5
            1.0	          176.3	                 719	           -160.3	          3.8	             47	             -1.7	            210.0	                3	            169.3	             49.5
            1.0	          176.3	                 724	           -156.7	          0.5	             24	             -2.0	            159.4	                3	            166.4	             26.0
            1.0	          176.3	                 730	           -149.3	          0.7	            208	            -10.6	            204.9	               -7	            159.3	             10.1
            1.0	          176.3	                 735	           -158.9	          1.5	             50	              2.4	            162.5	                6	            168.6	             42.7
            1.0	          176.3	                 741	           -160.4	          1.8	            203	             -1.7	            169.3	                6	            167.9	             21.2
            1.0	          176.3	                 747	           -158.4	          5.0	            199	             -1.6	            167.4	                8	            167.2	             17.9
            1.0	          176.3	                 753	           -173.5	          3.7	            203	             -7.3	            201.9	               -0	            170.2	             35.5
            1.0	          176.3	                 760	           -171.6	          1.0	            206	             -2.0	            178.9	                7	            178.4	             48.4
            1.0	          176.3	                 809	           -163.9	          6.3	             30	             -7.8	            182.9	                7	            173.9	             28.0
            1.0	          176.3	                 813	           -175.1	          6.2	            217	             -7.6	            200.0	                2	            176.9	             70.6
            1.0	          176.3	                 820	           -164.9	          1.4	             24	             -4.2	            161.9	                8	            169.2	             48.6
            1.0	          176.3	                 829	           -165.4	          2.8	            217	             -1.7	            208.1	               -3	            166.6	             63.0
            1.0	          176.3	                 840	           -174.4	          2.8	            213	             -4.1	            217.1	                3	            172.3	             78.2
            1.0	          176.3	                 851	           -171.5	          4.7	             38	             -4.8	            208.0	               -4	            167.0	             62.5
            1.0	          176.3	                 864	           -179.6	          0.1	             62	              4.0	            208.3	                8	            177.5	             39.6
            1.0	          176.3	                 879	           -178.3	          2.0	            198	             -4.0	            201.7	               -2	            176.8	            102.2
            1.0	          176.3	                 894	           -180.0	          4.0	            221	             -9.0	            203.1	               -0	            178.6	            128.5
            1.0	          176.3	                 910	           -180.0	          5.4	             43	             -2.3	            207.3	               12	            180.8	            123.5
            1.0	          176.3	                 927	           -180.0	          3.8	             46	              4.2	            161.0	                6	            170.9	             55.1
            1.0	          176.3	                 945	           -180.0	          5.4	            216	            -11.3	            208.4	               -8	            168.0	             46.0
            1.0	          176.3	                 963	           -180.0	          4.2	            216	             -8.6	            224.9	               -2	            186.5	            164.5
            1.0	          176.3	                 983	           -180.0	          0.7	            223	             -0.1	            202.0	               -2	            178.3	            119.2
            1.0	          176.3	                1003	           -180.0	          4.9	             52	             -1.5	            196.9	                4	            180.5	            126.2
            1.0	          176.3	                1024	           -180.0	          3.8	             31	             -6.6	            216.0	               -4	            178.4	            173.8
            1.0	          176.3	                1045	           -180.0	          1.9	            200	             -8.9	            168.3	                9	            173.5	             50.3
            1.0	          176.3	                1067	           -180.0	          6.0	             47	             -1.6	            165.8	                3	            173.2	            101.9
            1.0	          176.3	                1090	           -180.0	          2.3	             40	             -3.2	            162.3	               -0	            176.7	            137.3
            1.0	          176.3	                1113	           -180.0	          0.1	             59	             -5.5	            164.6	               13	            185.1	            221.3
            1.0	          176.3	                1137	           -180.0	          5.4	            206	             -7.5	            181.4	               20	            186.9	            216.4
            1.0	          176.3	                1162	           -180.0	          5.2	             30	             -2.1	            174.5	               -3	            188.3	            216.5
            1.0	          176.3	                1187	           -180.0	          0.8	             38	             -4.7	            164.0	                4	            177.4	            155.3
            1.0	          176.3	                1213	           -180.0	          4.1	            224	            -11.3	            161.2	                4	            160.8	             23.5
            1.0	          176.3	                1239	           -180.0	          4.6	             40	              0.3	            212.0	               10	            181.2	            187.4
            1.0	          176.3	                1266	           -180.0	          1.4	             40	             -4.8	            205.9	                2	            170.3	             91.5
            1.0	          176.3	                1293	           -180.0	          2.6	            217	             -3.8	            160.9	               16	            171.6	             95.9
            1.0	          176.3	                1321	           -180.0	          2.5	            226	             -8.5	            202.8	                9	            185.1	            334.8
            1.0	          176.3	                1349	           -180.0	          4.5	            231	             -3.9	            215.3	               -7	            180.8	            277.9
            1.0	          176.3	                1444	           -180.0	          4.7	            213	              0.6	            215.3	              -19	            188.3	            350.7
            1.0	          176.3	                1447	           -180.0	          0.1	            206	             -0.3	            161.0	                2	            176.2	            166.7
            1.0	          176.3	                1450	           -180.0	          5.2	             46	             -0.4	            169.2	                6	            175.8	            154.3
            1.0	          176.3	                1455	           -180.0	          5.1	             31	             -1.2	            212.7	               -4	            177.0	            215.9
            1.0	          176.3	                1459	           -180.0	          5.6	            204	             -6.3	            211.5	               -6	            168.4	             69.6
            1.0	          176.3	                1464	           -180.0	          3.7	             49	             -1.7	            203.6	               -2	            168.8	             82.8
            1.0	          176.3	                1469	           -180.0	          3.9	            220	             -1.2	            216.4	               -3	            177.5	            201.0
            1.0	          176.3	                1474	           -180.0	          2.3	             27	             -2.5	            207.4	               -1	            173.9	            153.3
            1.0	          176.3	                1479	           -180.0	          0.1	            218	            -10.1	            148.9	                7	            172.2	            103.9
            1.0	          176.3	                1484	           -180.0	          4.5	            217	             -4.3	            204.4	               -8	            172.5	            119.3
            1.0	          176.3	                1489	           -180.0	          6.0	            229	             -5.1	            178.5	               11	            181.7	            303.4
            1.0	          176.3	                1495	           -180.0	          3.8	            220	             -6.4	            210.9	               -3	            173.0	            142.2
            1.0	          176.3	                1500	           -180.0	          0.1	            231	             -7.7	            210.2	               -3	            177.4	            222.0
            1.0	          176.3	                1506	           -180.0	          5.6	             38	              0.6	            184.0	                7	            186.5	            368.4
            1.0	          176.3	                1511	           -180.0	          1.5	            197	             -7.5	            209.0	               -3	            177.8	            206.1
            1.0	          176.3	                1517	           -180.0	          4.4	            222	             -8.0	            209.3	              -11	            182.7	            361.4
            1.0	          176.3	                1523	           -180.0	          5.1	            216	             -2.5	            186.1	               15	            187.2	            432.8
            2.0	          178.1	                 587	           -145.3	          5.9	             43	             -3.1	            156.3	                4	            155.2	              6.0
            2.0	          178.1	                 590	           -152.0	          2.5	             34	             -8.6	            205.7	               -3	            161.0	             20.8
            2.0	          178.1	                 593	           -149.6	          1.5	             67	              1.5	            177.0	               11	            159.6	              1.2
            2.0	          178.1	                 596	           -153.0	          1.2	            225	             -5.0	            162.6	                6	            163.0	             15.4
            2.0	          178.1	                 599	           -161.6	          0.2	            210	             -7.7	            212.5	                3	            171.2	             39.2
            2.0	          178.1	                 601	           -163.1	          0.2	             42	             -5.7	            155.7	                3	            156.1	              5.9
            2.0	          178.1	                 604	           -164.3	          4.2	            238	             -5.7	            211.4	               -4	            174.1	             72.0
            2.0	          178.1	                 607	           -157.4	          1.3	             47	             -1.9	            206.4	                2	            166.5	             49.2
            2.0	          178.1	                 610	           -156.0	          0.3	             39	             -6.9	            196.2	                1	            165.6	             12.7
            2.0	          178.1	                 613	           -154.3	          4.2	            201	             -3.5	            178.3	               10	            164.2	              7.8
            2.0	          178.1	                 616	           -156.5	          2.7	             80	             -2.5	            211.1	               -5	            166.5	              5.0
            2.0	          178.1	                 619	           -161.8	          1.1	            214	             -6.1	            159.4	                2	            171.1	             33.4
            2.0	          178.1	                 622	           -159.9	          1.3	             43	             -5.2	            206.3	               -5	            166.7	             38.6
            2.0	          178.1	                 625	           -156.6	          1.6	             34	             -5.0	            207.0	               -4	            161.9	             30.4
            2.0	          178.1	                 628	           -163.4	          4.0	             47	             -0.2	            202.1	               -5	            170.1	             67.9
            2.0	          178.1	                 631	           -162.1	          2.6	            196	             -4.4	            201.6	               -7	            172.0	             42.1
            2.0	          178.1	                 635	           -162.1	          1.9	             37	              0.4	            208.7	                2	            169.1	             49.1
            2.0	          178.1	                 637	           -160.3	          3.1	            221	             -4.8	            199.1	               -4	            170.2	             50.6
            2.0	          178.1	                 641	           -164.1	          5.5	             54	             -0.4	            161.5	                4	            171.8	             47.2
            2.0	          178.1	                 644	           -171.2	          4.4	             41	              1.5	            169.2	                6	            175.9	            114.7
            2.0	          178.1	                 647	           -163.7	          1.2	             31	              3.0	            164.5	                1	            173.2	             27.5
            2.0	          178.1	                 650	           -180.0	          3.4	             45	              0.6	            154.2	               13	            167.1	              8.5
            2.0	          178.1	                 653	           -169.6	          0.4	             37	              2.2	            163.9	                9	            171.5	             42.1
            2.0	          178.1	                 656	           -170.8	          3.6	             54	             -8.3	            176.2	                5	            180.4	             37.3
            2.0	          178.1	                 659	           -163.6	          5.8	            215	             -5.3	            163.5	               14	            172.8	             71.5
            2.0	          178.1	                 662	           -168.7	          6.2	            227	             -8.0	            182.9	                7	            178.4	            121.5
            2.0	          178.1	                 665	           -180.0	          3.9	             45	             -4.7	            213.0	               -2	            171.8	             40.3
            2.0	          178.1	                 669	           -175.7	          5.6	             38	              0.1	            159.3	                1	            161.3	             17.8
            2.0	          178.1	                 672	           -176.6	          3.6	             53	             -2.3	            169.4	                8	            180.1	            153.7
            2.0	          178.1	                 703	           -163.7	          2.4	            214	             -0.8	            208.8	                1	            172.8	             61.3
            2.0	          178.1	                 705	           -171.7	          3.3	             53	             -2.6	            204.6	               -3	            172.6	             90.2
            2.0	          178.1	                 710	           -169.3	          2.5	             59	              0.6	            211.2	                0	            178.5	             42.8
            2.0	          178.1	                 714	           -168.7	          1.9	            215	             -9.0	            156.0	               11	            175.5	             83.8
            2.0	          178.1	                 719	           -173.3	          3.9	             47	             -1.6	            210.3	                3	            168.8	             42.7
            2.0	          178.1	                 724	           -171.7	          0.5	             24	             -2.0	            159.4	                3	            179.1	             61.8
            2.0	          178.1	                 730	           -173.1	          0.7	            208	            -10.8	            205.0	               -7	            181.4	            126.8
            2.0	          178.1	                 735	           -171.1	          1.5	             51	              2.4	            163.4	                5	            171.3	             73.5
            2.0	          178.1	                 741	           -180.0	          1.8	            203	             -1.8	            169.9	                6	            174.9	             54.3
            2.0	          178.1	                 747	           -180.0	          5.0	            198	             -1.6	            168.0	                8	            178.1	             68.6
            2.0	          178.1	                 753	           -180.0	          3.7	            202	             -7.4	            202.2	               -0	            181.0	            126.1
            2.0	          178.1	                 760	           -180.0	          1.1	            206	             -2.1	            179.4	                8	            168.1	             13.5
            2.0	          178.1	                 809	           -174.7	          6.3	             30	             -7.7	            182.9	                7	            183.5	            105.1
            2.0	          178.1	                 813	           -176.7	          6.3	            217	             -7.7	            200.4	                2	            176.7	             78.5
            2.0	          178.1	                 820	           -180.0	          1.4	             24	             -4.2	            162.0	                8	            182.3	             78.8
            2.0	          178.1	                 829	           -180.0	          2.8	            217	             -1.7	            208.2	               -3	            175.0	            126.7
            2.0	          178.1	                 840	           -180.0	          2.8	            213	             -4.2	            217.3	                3	            176.2	             85.3
            2.0	          178.1	                 851	           -180.0	          4.7	             38	             -4.7	            208.4	               -4	            163.6	             32.6
            2.0	          178.1	                 865	           -180.0	          0.1	             61	              4.0	            208.0	                8	            185.6	             99.3
            2.0	          178.1	                 879	           -180.0	          2.0	            198	             -4.1	            201.8	               -2	            175.6	             82.9
            2.0	          178.1	                 894	           -180.0	          4.0	            221	             -9.1	            203.2	               -0	            176.0	            102.3
            2.0	          178.1	                 910	           -180.0	          5.6	             43	             -2.3	            207.6	               12	            179.2	            133.1
            2.0	          178.1	                 927	           -180.0	          3.8	             47	              4.2	            161.7	                6	            167.8	             44.4
            2.0	          178.1	                 944	           -180.0	          5.3	            216	            -11.4	            208.5	               -9	            184.0	            272.1
            2.0	          178.1	                 963	           -180.0	          4.2	            216	             -8.7	            225.0	               -2	            188.6	            162.6
            2.0	          178.1	                 983	           -180.0	          0.7	            223	             -0.1	            202.1	               -2	            174.8	             81.0
            2.0	          178.1	                1003	           -180.0	          4.9	             52	             -1.5	            196.8	                4	            180.2	            138.0
            2.0	          178.1	                1023	           -180.0	          3.7	             31	             -6.5	            216.2	               -4	            174.6	            113.9
            2.0	          178.1	                1045	           -180.0	          1.9	            200	             -9.0	            168.8	                9	            178.4	            112.4
            2.0	          178.1	                1067	           -180.0	          6.0	             48	             -1.6	            165.9	                3	            169.4	             79.2
            2.0	          178.1	                1090	           -180.0	          2.3	             40	             -3.2	            162.3	               -0	            162.9	             29.5
            2.0	          178.1	                1113	           -180.0	          0.1	             59	             -5.4	            165.2	               12	            184.8	            228.3
            2.0	          178.1	                1137	           -180.0	          5.4	            206	             -7.6	            181.7	               20	            182.8	            207.2
            2.0	          178.1	                1162	           -180.0	          5.2	             30	             -2.1	            174.6	               -3	            186.8	            263.3
            2.0	          178.1	                1187	           -180.0	          0.8	             38	             -4.7	            164.6	                4	            166.1	             45.8
            2.0	          178.1	                1213	           -180.0	          4.1	            224	            -11.4	            161.6	                4	            168.4	             52.1
            2.0	          178.1	                1239	           -180.0	          4.7	             40	              0.3	            212.1	               10	            179.0	            173.3
            2.0	          178.1	                1266	           -180.0	          1.4	             40	             -4.7	            205.7	                2	            166.5	             50.8
            2.0	          178.1	                1293	           -180.0	          2.5	            217	             -3.8	            161.3	               16	            174.6	            111.8
            2.0	          178.1	                1321	           -180.0	          2.5	            226	             -8.5	            203.0	                9	            187.8	            334.9
            2.0	          178.1	                1349	           -180.0	          4.4	            231	             -3.9	            215.4	               -8	            183.4	            346.4
            2.0	          178.1	                1443	           -180.0	          4.5	            213	              0.6	            215.4	              -19	            189.5	            234.0
            2.0	          178.1	                1447	           -180.0	          0.1	            206	             -0.3	            161.4	                2	            181.3	            285.7
            2.0	          178.1	                1450	           -180.0	          5.2	             47	             -0.4	            169.7	                6	            177.5	            209.3
            2.0	          178.1	                1455	           -180.0	          5.1	             31	             -1.2	            212.9	               -4	            171.4	            114.4
            2.0	          178.1	                1459	           -180.0	          5.5	            204	             -6.3	            211.6	               -6	            182.0	            326.5
            2.0	          178.1	                1464	           -180.0	          3.7	             49	             -1.7	            203.8	               -2	            168.2	             72.4
            2.0	          178.1	                1468	           -180.0	          3.9	            220	             -1.2	            216.5	               -3	            184.4	            374.8
            2.0	          178.1	                1473	           -180.0	          2.3	             28	             -2.5	            207.8	               -1	            169.9	             97.4
            2.0	          178.1	                1479	           -180.0	          0.1	            218	            -10.2	            149.2	                7	            183.1	            333.6
            2.0	          178.1	                1484	           -180.0	          4.4	            217	             -4.3	            204.4	               -8	            176.1	            188.0
            2.0	          178.1	                1489	           -180.0	          6.0	            229	             -5.1	            178.7	               11	            181.6	            300.6
            2.0	          178.1	                1495	           -180.0	          3.8	            220	             -6.4	            211.0	               -3	            179.9	            290.6
            2.0	          178.1	                1500	           -180.0	          0.0	            231	             -7.8	            210.3	               -3	            180.1	            293.2
            2.0	          178.1	                1506	           -180.0	          5.6	             38	              0.5	            184.0	                7	            185.0	            420.3
            2.0	          178.1	                1511	           -180.0	          1.5	            197	             -7.5	            209.1	               -3	            180.3	            286.4
            2.0	          178.1	                1517	           -180.0	          4.3	            222	             -8.1	            209.4	              -12	            185.5	            427.2
            2.0	          178.1	                1523	           -180.0	          5.1	            216	             -2.5	            186.3	               15	            188.7	            390.9
            3.0	          180.0	                 587	           -157.6	          5.9	             43	             -3.1	            156.4	                4	            163.1	             17.8
            3.0	          180.0	                 590	           -148.3	          2.5	             34	             -8.4	            206.1	               -3	            158.3	             13.0
            3.0	          180.0	                 593	           -153.9	          1.6	             67	              1.5	            178.1	               11	            163.9	              2.9
            3.0	          180.0	                 596	           -155.7	          1.2	            225	             -5.1	            163.3	                6	            165.7	             21.0
            3.0	          180.0	                 599	           -149.9	          0.2	            210	             -7.7	            212.6	                3	            159.6	             27.6
            3.0	          180.0	                 601	           -154.2	          0.2	             43	             -5.6	            156.9	                3	            162.8	             16.0
            3.0	          180.0	                 604	           -159.2	          4.2	            238	             -5.8	            211.7	               -4	            169.2	             40.6
            3.0	          180.0	                 607	           -161.0	          1.4	             47	             -1.9	            206.8	                2	            168.7	             72.3
            3.0	          180.0	                 610	           -155.3	          0.3	             38	             -6.7	            195.9	                1	            164.8	             11.9
            3.0	          180.0	                 613	           -150.6	          4.2	            201	             -3.6	            179.0	               10	            160.5	             15.4
            3.0	          180.0	                 616	           -161.5	          2.7	             79	             -2.4	            211.4	               -5	            171.5	             11.2
            3.0	          180.0	                 619	           -159.3	          1.1	            214	             -6.2	            160.2	                2	            169.1	             24.8
            3.0	          180.0	                 622	           -167.0	          1.2	             43	             -5.1	            206.7	               -5	            168.0	             48.1
            3.0	          180.0	                 625	           -173.9	          1.6	             35	             -4.8	            207.5	               -4	            160.0	             23.0
            3.0	          180.0	                 628	           -163.3	          4.0	             46	             -0.2	            201.7	               -6	            171.5	             76.3
            3.0	          180.0	                 631	           -174.3	          2.6	            195	             -4.4	            202.0	               -7	            182.4	            143.6
            3.0	          180.0	                 635	           -158.5	          1.9	             37	              0.4	            209.0	                2	            167.0	             43.2
            3.0	          180.0	                 637	           -155.8	          3.1	            221	             -4.9	            199.3	               -4	            165.7	             33.9
            3.0	          180.0	                 641	           -180.0	          5.5	             54	             -0.4	            161.7	                4	            172.8	             49.4
            3.0	          180.0	                 644	           -172.5	          4.4	             40	              1.5	            169.5	                6	            179.7	            148.5
            3.0	          180.0	                 647	           -175.0	          1.2	             32	              2.9	            165.6	                1	            180.1	             72.5
            3.0	          180.0	                 650	           -160.6	          3.3	             45	              0.6	            155.3	               13	            169.7	             25.1
            3.0	          180.0	                 653	           -177.2	          0.3	             38	              2.2	            165.0	                9	            179.3	             91.6
            3.0	          180.0	                 656	           -163.4	          3.6	             54	             -8.3	            176.4	                5	            173.3	             17.9
            3.0	          180.0	                 659	           -169.9	          5.8	            214	             -5.4	            164.3	               14	            177.9	            120.3
            3.0	          180.0	                 662	           -172.6	          6.2	            227	             -8.1	            183.5	                7	            181.8	            168.5
            3.0	          180.0	                 665	           -180.0	          3.9	             44	             -4.6	            212.5	               -2	            171.8	             60.0
            3.0	          180.0	                 669	           -169.2	          5.6	             38	              0.1	            159.4	                1	            169.4	             46.7
            3.0	          180.0	                 672	           -171.0	          3.6	             53	             -2.3	            169.6	                8	            174.8	             85.4
            3.0	          180.0	                 703	           -152.9	          2.4	            214	             -0.8	            208.8	                1	            162.1	             44.1
            3.0	          180.0	                 705	           -165.7	          3.2	             53	             -2.5	            205.0	               -3	            171.3	             81.9
            3.0	          180.0	                 710	           -155.4	          2.5	             59	              0.6	            211.4	                0	            165.3	             11.7
            3.0	          180.0	                 714	           -177.8	          1.9	            215	             -9.2	            156.8	               11	            178.3	            100.0
            3.0	          180.0	                 719	           -164.0	          3.9	             46	             -1.6	            210.5	                3	            169.6	             64.0
            3.0	          180.0	                 724	           -159.0	          0.5	             24	             -2.0	            159.5	                3	            168.2	             37.5
            3.0	          180.0	                 729	           -168.6	          0.6	            208	            -10.9	            205.1	               -7	            175.8	             89.0
            3.0	          180.0	                 735	           -160.1	          1.5	             51	              2.3	            164.3	                5	            169.8	             48.5
            3.0	          180.0	                 741	           -159.4	          1.8	            202	             -1.8	            170.5	                6	            167.3	             63.9
            3.0	          180.0	                 747	           -176.9	          5.0	            198	             -1.6	            168.6	                8	            170.7	             64.6
            3.0	          180.0	                 753	           -180.0	          3.7	            202	             -7.5	            202.5	               -0	            178.0	            106.3
            3.0	          180.0	                 760	           -171.5	          1.1	            206	             -2.1	            179.9	                8	            164.5	             27.0
            3.0	          180.0	                 809	           -166.8	          0.0	             30	             -7.6	            182.9	                7	            176.4	             58.2
            3.0	          180.0	                 813	           -172.5	          6.3	            217	             -7.7	            200.7	                2	            171.5	             63.4
            3.0	          180.0	                 820	           -161.8	          1.3	             24	             -4.2	            162.0	                8	            169.3	             48.9
            3.0	          180.0	                 829	           -168.3	          2.8	            217	             -1.7	            208.3	               -3	            165.0	             56.1
            3.0	          180.0	                 840	           -167.5	          2.9	            213	             -4.2	            217.4	                3	            164.8	             64.1
            3.0	          180.0	                 851	           -179.1	          4.7	             38	             -4.6	            208.8	               -4	            162.3	             27.5
            3.0	          180.0	                 865	           -174.8	          0.2	             61	              3.9	            207.7	                8	            175.0	             50.5
            3.0	          180.0	                 879	           -178.8	          2.0	            198	             -4.1	            202.0	               -2	            182.4	            175.4
            3.0	          180.0	                 894	           -180.0	          4.0	            221	             -9.1	            203.3	               -0	            171.4	             69.2
            3.0	          180.0	                 910	           -180.0	          5.7	             43	             -2.3	            207.8	               12	            180.2	            139.2
            3.0	          180.0	                 927	           -180.0	          3.7	             47	              4.1	            162.5	                6	            171.5	             71.9
            3.0	          180.0	                 944	           -180.0	          5.2	            216	            -11.5	            208.6	               -9	            179.2	            183.8
            3.0	          180.0	                 963	           -180.0	          4.1	            216	             -8.7	            225.1	               -2	            183.9	            165.2
            3.0	          180.0	                 983	           -180.0	          0.7	            223	             -0.1	            202.2	               -2	            170.1	             55.6
            3.0	          180.0	                1003	           -180.0	          5.0	             51	             -1.5	            196.6	                4	            182.0	            158.4
            3.0	          180.0	                1023	           -180.0	          3.7	             31	             -6.4	            216.4	               -4	            172.5	             92.3
            3.0	          180.0	                1045	           -180.0	          1.9	            200	             -9.0	            169.2	                9	            173.6	             84.4
            3.0	          180.0	                1067	           -180.0	          6.0	             48	             -1.6	            166.0	                3	            172.4	            110.0
            3.0	          180.0	                1090	           -180.0	          2.3	             40	             -3.2	            162.4	               -0	            169.3	             61.7
            3.0	          180.0	                1113	           -180.0	          0.1	             60	             -5.4	            165.8	               12	            185.0	            208.8
            3.0	          180.0	                1138	           -180.0	          5.5	            206	             -7.6	            182.0	               21	            179.6	            152.3
