0	27.06	-64.84
0	37.628	-76.36
0	40.291	-86.59
0	51.257	-65.136
0	63.91	-90.045
0	66.64	-96.804
0	74.136	-110.83
0	91.587	-71.982
0	112.14	-94.382
0	139.77	-94.465
0	142.81	-106.59
0	146.9	-114.73
0.5	27.06	-64.84
0.5	37.628	-76.36
0.5	40.291	-86.59
0.5	51.257	-65.136
0.5	63.91	-90.045
0.5	66.64	-96.804
0.5	74.136	-110.83
0.5	91.587	-71.982
0.5	112.14	-94.382
0.5	139.77	-94.465
0.5	142.81	-106.59
0.5	146.9	-114.73
1	27.06	-64.84
1	37.628	-76.36
1	40.291	-86.59
1	51.257	-65.136
1	63.91	-90.045
1	66.64	-96.804
1	74.136	-110.83
1	91.587	-71.982
1	112.14	-94.382
1	139.77	-94.465
1	142.81	-106.59
1	146.9	-114.73
1.5	27.06	-64.84
1.5	37.628	-76.36
1.5	40.291	-86.59
1.5	51.257	-65.136
1.5	63.91	-90.045
1.5	66.64	-96.804
1.5	74.136	-110.83
1.5	91.587	-71.982
1.5	112.14	-94.382
1.5	139.77	-94.465
1.5	142.81	-106.59
1.5	146.9	-114.73
