587.45	1.7546e-16	5.8738	42.691	-3.1304	156.45	4.0236
589.99	1.4733e-15	2.4531	34.239	-8.3912	206.15	-3.2061
592.97	4.0962e-16	1.5513	66.571	1.4771	178.12	11.22
595.65	2.695e-16	1.1866	225.09	-5.1231	163.35	6.2594
598.71	1.0349e-15	0.18442	209.5	-7.7491	212.6	2.972
601.42	3.7806e-16	0.2256	43.113	-5.5646	156.9	2.9824
604.21	1.1898e-16	4.1693	238.35	-5.8	211.72	-3.8425
607.4	7.9134e-17	1.3523	46.542	-1.8942	206.78	1.5525
610.33	2.9754e-16	0.28445	38.127	-6.747	195.94	0.73892
613.38	8.8082e-16	4.2178	200.72	-3.5669	178.97	9.866
616.06	7.0141e-17	2.6505	78.687	-2.443	211.36	-4.7033
619.25	1.1769e-16	1.1272	213.85	-6.2322	160.2	2.4662
622.1	1.9937e-17	1.2211	43.293	-5.1065	206.73	-4.9177
625.17	4.1029e-18	1.5614	34.826	-4.8326	207.54	-3.8102
628.16	4.7273e-17	3.9833	46.296	-0.19064	201.71	-5.5663
631.16	3.7251e-18	2.5858	195.34	-4.3938	201.98	-7.0097
634.58	1.4168e-16	1.9237	37.25	0.43224	208.98	2.2971
637.4	2.6056e-16	3.0998	220.72	-4.8685	199.3	-4.3674
640.59	1e-18	5.4757	54.474	-0.4142	161.72	3.758
643.7	5.688e-18	4.4326	39.959	1.4665	169.51	6.1227
646.79	3.1678e-18	1.2327	31.756	2.9374	165.6	1.1914
649.64	8.6669e-17	3.3454	45.425	0.55406	155.26	12.685
652.93	1.9084e-18	0.34146	37.922	2.1521	165.03	9.1852
656.15	4.5335e-17	3.5846	53.733	-8.3004	176.37	5.4495
659.11	1.0243e-17	5.8037	214.27	-5.4092	164.32	13.848
662.46	5.4455e-18	6.2281	227.14	-8.0791	183.52	7.3376
665.35	1e-18	3.8545	44.012	-4.6419	212.48	-2.4401
668.59	1.2009e-17	5.6396	38.32	0.10495	159.41	0.53356
671.73	7.8629e-18	3.6223	52.698	-2.2943	169.56	7.9286
